name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Maguire,MUN,DEF,5.0,Available,1650,73,6,3.3,0.6
Mainoo,MUN,MID,5.5,Available,1927,77,8,3.2,8.2
Malacia,MUN,DEF,4.5,Available,0,0,0,0.0,0.2
Martinez,MUN,DEF,4.5,Available,643,15,0,1.4,5.4
McTominay,MUN,MID,5.0,Available,1891,98,5,3.1,1.2
Mount,MUN,MID,6.5,Available,509,23,0,1.6,0.3
Onana,MUN,GKP,5.0,Available,3420,133,10,3.5,7.4
Pellistri,MUN,MID,5.0,Available,164,13,0,1.4,0.0
Rashford,MUN,MID,7.0,Available,2264,108,0,3.3,7.2
Sancho,MUN,MID,6.5,Available,76,3,0,1.0,0.6
Shaw,MUN,DEF,5.0,Available,960,31,0,2.6,5.2
Wan-Bissaka,MUN,DEF,4.5,Available,1778,47,5,2.1,0.6
Zirkzee,MUN,FWD,7.0,Available,0,0,0,0.0,2.5
Yoro,MUN,DEF,4.5,Available,0,0,0,0.0,4.3
A.Murphy,NEW,DEF,4.0,Available,11,2,0,1.0,0.6
Almirón,NEW,MID,6.0,Available,1930,77,4,2.3,1.0
Barnes,NEW,MID,6.5,Available,788,64,3,3.0,0.6
Botman,NEW,DEF,4.5,Injured,1375,51,4,3.0,0.0
Bruno G.,NEW,MID,6.5,Available,3264,153,15,4.1,2.9
Burn,NEW,DEF,4.5,Available,2725,97,4,2.9,23.3
Dúbravka,NEW,GKP,4.5,Available,1984,75,3,3.3,1.5
Fraser,NEW,MID,5.0,Available,0,0,0,0.0,0.0
Gordon,NEW,MID,7.5,Available,2896,183,14,5.2,36.8
Hall,NEW,DEF,4.5,Available,773,38,3,2.1,0.5
Hayden,NEW,MID,4.5,Available,0,0,0,0.0,0.1
Isak,NEW,FWD,8.5,Available,2253,172,23,5.7,55.2
J.Murphy,NEW,MID,5.5,Available,1184,82,4,3.9,0.2
Joelinton,NEW,MID,6.0,Available,1276,45,3,2.2,0.4
Kelly,NEW,DEF,4.5,Available,1553,48,5,2.1,0.2
Krafth,NEW,DEF,4.5,Available,909,33,1,1.9,0.1
Kuol,NEW,MID,4.5,Available,0,0,0,0.0,0.0
Lascelles,NEW,DEF,4.5,Injured,1077,46,3,2.9,0.0
Lewis,NEW,DEF,4.0,Available,0,0,0,0.0,0.4
